mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,mean_loss,std_folds,param_set_index
0.09148321151733399,0.005024438293988738,0.021863174438476563,0.0011909499163041703,5,50,"{'max_depth': 5, 'n_estimators': 50}",-0.01463666351319338,-0.013877545099685324,-0.02269375689484541,-0.024961420510578487,-0.018205614164526512,-0.018875000036565823,0.004359209742747596,15,-0.00687613624143647,-0.007223763844683731,-0.007159775056019649,-0.007138324852844486,-0.007572041372395637,-0.007194008273475995,0.00022320824499120185,0.018875000036565823,0.004359209742747596,0
0.17363929748535156,0.009062575300910852,0.030372762680053712,0.0023252499063451393,5,100,"{'max_depth': 5, 'n_estimators': 100}",-0.016636090269191023,-0.014004289528045388,-0.024289604790820513,-0.021133248781302513,-0.018141286984668988,-0.018840904070805686,0.0035689407955380313,14,-0.007345252413271164,-0.006819211895573329,-0.007052393296323033,-0.006473245960441404,-0.007404036700438645,-0.007018828053209515,0.0003445494509139983,0.018840904070805686,0.0035689407955380313,1
0.3264629364013672,0.014668730137740766,0.05103425979614258,0.013972814457667813,5,200,"{'max_depth': 5, 'n_estimators': 200}",-0.016452227355146676,-0.013988888911086256,-0.023608264460344967,-0.022415275810097352,-0.018833227004995092,-0.01905957670833407,0.0035920093625099337,16,-0.00747690102206291,-0.007288997711182574,-0.0069350629820424,-0.006751202447044554,-0.007285891162219846,-0.007147611064910457,0.0002645221823540238,0.01905957670833407,0.0035920093625099337,2
0.6567251682281494,0.03444432221012022,0.05370044708251953,0.008338699514643787,5,400,"{'max_depth': 5, 'n_estimators': 400}",-0.016346682519370007,-0.01377159224471633,-0.02202939735877046,-0.02206502892745585,-0.01796250894692248,-0.018435041999447028,0.003238162811387517,4,-0.007105813044765695,-0.0070355622180447,-0.006658829321994106,-0.00647613557374226,-0.006677420194809604,-0.006790752070671273,0.00024017772232206403,0.018435041999447028,0.003238162811387517,3
0.1052133560180664,0.008533850856160189,0.03963146209716797,0.011135647555904248,10,50,"{'max_depth': 10, 'n_estimators': 50}",-0.015177423783899946,-0.013543243676570635,-0.02231474100589594,-0.024961420510578487,-0.01806235483122926,-0.018811836761634854,0.004280571746448198,11,-0.006752637800815667,-0.007001534748053523,-0.006428413107161029,-0.007138324852844486,-0.007513119216831674,-0.0069668059451412755,0.00036464170313028796,0.018811836761634854,0.004280571746448198,4
0.19844717979431153,0.016752856411216165,0.05021061897277832,0.012650462006215916,10,100,"{'max_depth': 10, 'n_estimators': 100}",-0.01664131001579198,-0.01392462131128716,-0.023851700675208386,-0.02099855297246859,-0.017940860249514315,-0.018671409044854086,0.0034478404148992913,5,-0.007030995929130026,-0.006616442437409872,-0.006470408703160418,-0.006360068247258309,-0.006896258228535871,-0.0066748347090988995,0.0002530441718003102,0.018671409044854086,0.0034478404148992913,5
0.31509175300598147,0.021345635902508264,0.037970542907714844,0.0048647216664393245,10,200,"{'max_depth': 10, 'n_estimators': 200}",-0.01637478042716366,-0.0137591302682947,-0.022889687162170234,-0.02222828700913435,-0.01876233215638573,-0.018802843404629736,0.003457517287638736,8,-0.007210425792980738,-0.007105853074607138,-0.006402209195168008,-0.006539587179205668,-0.006945960283452052,-0.00684080710508272,0.0003165520815451049,0.018802843404629736,0.003457517287638736,6
0.6526715755462646,0.013601262537437438,0.04681682586669922,0.001878960730618455,10,400,"{'max_depth': 10, 'n_estimators': 400}",-0.01608929222544409,-0.0134868220293724,-0.02161657057266342,-0.021713592457439063,-0.017896340340092732,-0.018160523525002338,0.003186591833166155,1,-0.0068802134057150775,-0.0067838511414931,-0.006281896131908908,-0.006195279542672459,-0.006453336502772948,-0.006518915344912499,0.00027053505850823165,0.018160523525002338,0.003186591833166155,7
0.10197796821594238,0.008692707744131492,0.04493703842163086,0.010949433255537338,20,50,"{'max_depth': 20, 'n_estimators': 50}",-0.015177423783899946,-0.013543243676570635,-0.02231474100589594,-0.024961420510578487,-0.01806235483122926,-0.018811836761634854,0.004280571746448198,11,-0.006752637800815667,-0.007001534748053523,-0.006428413107161029,-0.007138324852844486,-0.007513119216831674,-0.0069668059451412755,0.00036464170313028796,0.018811836761634854,0.004280571746448198,8
0.16534843444824218,0.01722460612182985,0.05686078071594238,0.016003753926167416,20,100,"{'max_depth': 20, 'n_estimators': 100}",-0.01664131001579198,-0.01392462131128716,-0.023851700675208386,-0.02099855297246859,-0.017940860249514315,-0.018671409044854086,0.0034478404148992913,5,-0.007030995929130026,-0.006616442437409872,-0.006470408703160418,-0.006360068247258309,-0.006896258228535871,-0.0066748347090988995,0.0002530441718003102,0.018671409044854086,0.0034478404148992913,9
0.3040774345397949,0.007662509003011549,0.0346463680267334,0.004700731211443294,20,200,"{'max_depth': 20, 'n_estimators': 200}",-0.01637478042716366,-0.0137591302682947,-0.022889687162170234,-0.02222828700913435,-0.01876233215638573,-0.018802843404629736,0.003457517287638736,8,-0.007210425792980738,-0.007105853074607138,-0.006402209195168008,-0.006539587179205668,-0.006945960283452052,-0.00684080710508272,0.0003165520815451049,0.018802843404629736,0.003457517287638736,10
0.6263026237487793,0.0626199050440474,0.07121763229370118,0.014081092199095991,20,400,"{'max_depth': 20, 'n_estimators': 400}",-0.01608929222544409,-0.0134868220293724,-0.02161657057266342,-0.021713592457439063,-0.017896340340092732,-0.018160523525002338,0.003186591833166155,1,-0.0068802134057150775,-0.0067838511414931,-0.006281896131908908,-0.006195279542672459,-0.006453336502772948,-0.006518915344912499,0.00027053505850823165,0.018160523525002338,0.003186591833166155,11
0.10849261283874512,0.012675882621136654,0.07006006240844727,0.015860964592414026,,50,"{'max_depth': None, 'n_estimators': 50}",-0.015177423783899946,-0.013543243676570635,-0.02231474100589594,-0.024961420510578487,-0.01806235483122926,-0.018811836761634854,0.004280571746448198,11,-0.006752637800815667,-0.007001534748053523,-0.006428413107161029,-0.007138324852844486,-0.007513119216831674,-0.0069668059451412755,0.00036464170313028796,0.018811836761634854,0.004280571746448198,12
0.19591898918151857,0.03424673254220877,0.0652547836303711,0.02196277323740575,,100,"{'max_depth': None, 'n_estimators': 100}",-0.01664131001579198,-0.01392462131128716,-0.023851700675208386,-0.02099855297246859,-0.017940860249514315,-0.018671409044854086,0.0034478404148992913,5,-0.007030995929130026,-0.006616442437409872,-0.006470408703160418,-0.006360068247258309,-0.006896258228535871,-0.0066748347090988995,0.0002530441718003102,0.018671409044854086,0.0034478404148992913,13
